id,id2,type,breidd,lengd,year,nr,grein,tolulidur,undirlidur,heiti,dags_fra,dags_til,v1,v2,v3,v5,v6,v7,v8,v9,v14,ath
1,1,permanent,633500,171900,2003,311,1,NA,NA,Síðugrunn,2003-04-23,NA,1,0,0,0,0,0,0,0,0,NA
1,2,permanent,632800,171900,2003,311,1,NA,NA,Síðugrunn,2003-04-23,NA,1,0,0,0,0,0,0,0,0,NA
1,3,permanent,632800,173800,2003,311,1,NA,NA,Síðugrunn,2003-04-23,NA,1,0,0,0,0,0,0,0,0,NA
1,4,permanent,633500,173800,2003,311,1,NA,NA,Síðugrunn,2003-04-23,NA,1,0,0,0,0,0,0,0,0,NA
2,1,permanent,634600,163300,2003,311,2,NA,NA,Ingólfhöfði,2003-04-23,NA,1,0,0,0,0,0,0,0,0,NA
2,2,permanent,633700,161700,2003,311,2,NA,NA,Ingólfhöfði,2003-04-23,NA,1,0,0,0,0,0,0,0,0,NA
2,3,permanent,633600,163700,2003,311,2,NA,NA,Ingólfhöfði,2003-04-23,NA,1,0,0,0,0,0,0,0,0,NA
2,4,permanent,633700,165500,2003,311,2,NA,NA,Ingólfhöfði,2003-04-23,NA,1,0,0,0,0,0,0,0,0,NA
2,5,permanent,634500,164700,2003,311,2,NA,NA,Ingólfhöfði,2003-04-23,NA,1,0,0,0,0,0,0,0,0,NA
3,1,permanent,635900,152400,2003,311,3,NA,NA,Mýrargrunn,2003-04-23,NA,1,0,0,0,0,0,0,0,0,NA
3,2,permanent,635000,152400,2003,311,3,NA,NA,Mýrargrunn,2003-04-23,NA,1,0,0,0,0,0,0,0,0,NA
3,3,permanent,635000,154700,2003,311,3,NA,NA,Mýrargrunn,2003-04-23,NA,1,0,0,0,0,0,0,0,0,NA
3,4,permanent,635900,155700,2003,311,3,NA,NA,Mýrargrunn,2003-04-23,NA,1,0,0,0,0,0,0,0,0,NA
